site_id	Building	Document Sub Class	Document Ref.	Title	Author	Category	Subject	Repository Description	Created Date	Expiry Date	Actual Path	Concept Document Id	Filename
001	Fairlands	Operations Compliance GMR_PLUMBING	 FNB Floors inspection 31 January 2025	floor inspection	Segape Makgahlela	fnb fairlands	monthly floor inspection	Operations Compliance GMR_PLUMBING: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING	2025/02/05 09:33	2025/01/31 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING\00\000000\38ad68dcd2034fc1bb8591e8b7d31329.pdf	66654	FNB 31 january 2024 All Floors Inspection.pdf
001	Fairlands	Operations Compliance GMR_ELECTRICAL	 Rems fairland 2023	Oil spill kit june 2023	Eric Sikuni	Electrical	Monthly inspection oil spill kit	Operations Compliance GMR_ELECTRICAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\ELECTRICAL	2023/08/16 13:11	2024/06/16 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\ELECTRICAL\00\000003\26176e39e3684f078e73445e6083d03e.pdf	35983	Oil spill kit june 2023.pdf
001	Fairlands	Operations Compliance GMR_ELECTRICAL	 Rems Fairlands 09 june 2023 PV	 PV inspections 09 june 2023	Eric Sikuni	Electrical	weekly inspections	Operations Compliance GMR_ELECTRICAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\ELECTRICAL	2023/08/16 11:58	2024/06/09 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\ELECTRICAL\00\000003\baa45f2413614c2cb1bd9d57fe7fecf5.pdf	35967	pv 09 june 2023.pdf
001	Fairlands	Operations Compliance GMR_PLUMBING	 West Bank Floors inspection 31 January 2025	floor inspection	Segape Makgahlela	fnb fairlands	monthly floor inspection	Operations Compliance GMR_PLUMBING: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING	2025/02/05 09:35	2025/01/31 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING\00\000000\87fa0e2c7ff54e038559e1a29fcf610e.pdf	66655	wesbank all floors inspection 31 january 2025.pdf
001	Fairlands	Operations Compliance GMR_STRUCTURAL	10/10/2023 doors and interior inspection	monthly 	Maphumulo Selby	General maintaince	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/11/13 05:30	2024/11/22 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\a0aff27a899349fbbb3299eb4932f5a7.docx	43235	Doors Exterior and Interion sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	10/10/2023 Floors and Carperts inspection	monthly 	Maphumulo Selby	General maintaince	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/11/13 05:34	2024/11/01 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\9317cd02185a4ef7890476b3072b51bd.docx	43236	Floors and Carpets Inpection Check List sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	10/10/2023 walls ceilengs and floors inspection	monthly 	Maphumulo Selby	General maintaince	inspection	Self Service Documents: .	2023/11/13 05:36	2024/11/01 00:00		43239	Walls Ceilings and floors Inspection Check List Sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	10/10/2023 windows and window hardware inspection	monthly 	Maphumulo Selby	General maintaince	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/11/13 05:39	2024/11/01 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\ec09b3faf3674086aa1df28db05ee8dd.docx	43240	Windows and Window Hardware Sample.docx
001	Fairlands	Operations Compliance GMR_PLUMBING	12 December  2024  FNB  Water Meter Readings	meter readings	Segape Makgahlela	fnb fairlands	meter readings	Operations Compliance GMR_PLUMBING: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING	2025/01/03 09:53	2024/12/13 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING\00\000000\98c27b40077b47258b8976cea14a73ff.pdf	65173	14 december 2024 meter readings december.pdf
001	Fairlands		12 December  2024  FNB  Water Meter Readings	meter readings	Segape Makgahlela	fnb fairlands	meter readings	Self Service Documents: .	2025/01/27 07:38	2025/01/27 00:00		66056	F015- December23 Service Sheets.pdf
001	Fairlands	Operations Compliance GMR_PLUMBING	12 December  2024  FNB 1 all floors inspection	floor inspection	Segape Makgahlela	fnb fairlands	monthly floor inspection	Operations Compliance GMR_PLUMBING: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING	2024/12/12 12:23	2024/12/12 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\PLUMBING\00\000000\17ba38efb1d844ed823cffb8f5d0fdae.pdf	64892	Fnb 1  -12 december 2024 all fllors inspection.pdf
001	Fairlands	Operations Compliance GMR_STRUCTURAL	1Shared Facility Floor Inspection	monthly 	Maphumulo Selby		inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/09/28 05:20	2024/09/02 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\a22d4a9cc20c488aa4fce69878385d9c.docx	39529	Floors and Carpets Inpection Check List sample.docx
001	Fairlands	Operations GRM Compliance_HVAC_Chiller Monthly Service	1Shared Facility Floor Inspection Walls Ceiling and floor	monthly 	Maphumulo Selby	General maintaince	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/09/28 05:17	2024/09/02 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\056454f4cb66450194ef8e6aa2181892.docx	39528	Walls Ceilings and floors Inspection Check List Sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	1Shared Facility Floor Inspection Windows and Window Hardware	monthly 	Maphumulo Selby	General maintaince	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2023/09/28 05:12	2024/09/02 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\121e7479163241caa13cc721add4cf02.docx	39527	Windows and Window Hardware Sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	2025 August Doors inspection		Maphumulo Selby	General maintaince operational	inspection	Self Service Documents: .	2025/11/19 11:47	2026/05/29 00:00		81514	Doors Exterior and Interion sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	2025 August floors and Carpets inspection		Maphumulo Selby	General maintaince operational	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2025/11/19 11:50	2026/05/29 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\6c838142884243e0944495d96fc28ec2.docx	81515	Floors and Carpets Inpection Check List sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	2025 August Walls and ceiling inspection		Maphumulo Selby	General maintaince operational	inspection	Self Service Documents: .	2025/11/19 11:51	2026/05/29 00:00		81516	Walls Ceilings and floors Inspection Check List Sample.docx
001	Fairlands	Operations Compliance GMR_STRUCTURAL	2025 August Windows inspection		Maphumulo Selby	General maintaince operational	inspection	Operations Compliance GMR_STRUCTURAL: \\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL	2025/11/19 11:54	2026/05/29 00:00	\\BMS-RBPADMZCEPT\E$\DMS\FNB REMS Buildings\Operations Compliance GMR\STRUCTURAL\00\000000\027ae5e1e19b484f821da7c31c5e382a.docx	81517	Windows and Window Hardware Sample.docx
